"","FeatureId","IsTimeDomain","IsFrequencyDomain","IsAccelerometer","IsGyroscope","IsBody","IsGravity","IsJerk","IsMagnitute","Coordinates","VariableName","VariableDescription","OriginalName","ReadableName"
"1",1,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"X","mean","Mean value","tBodyAcc-mean()-X","TimeDomainBodyAcceleration.mean.X"
"2",2,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Y","mean","Mean value","tBodyAcc-mean()-Y","TimeDomainBodyAcceleration.mean.Y"
"3",3,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Z","mean","Mean value","tBodyAcc-mean()-Z","TimeDomainBodyAcceleration.mean.Z"
"4",4,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"X","std","Standard deviation","tBodyAcc-std()-X","TimeDomainBodyAcceleration.std.X"
"5",5,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Y","std","Standard deviation","tBodyAcc-std()-Y","TimeDomainBodyAcceleration.std.Y"
"6",6,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Z","std","Standard deviation","tBodyAcc-std()-Z","TimeDomainBodyAcceleration.std.Z"
"7",7,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"X","mad","Median absolute deviation ","tBodyAcc-mad()-X","TimeDomainBodyAcceleration.mad.X"
"8",8,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Y","mad","Median absolute deviation ","tBodyAcc-mad()-Y","TimeDomainBodyAcceleration.mad.Y"
"9",9,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Z","mad","Median absolute deviation ","tBodyAcc-mad()-Z","TimeDomainBodyAcceleration.mad.Z"
"10",10,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"X","max","Largest value in array","tBodyAcc-max()-X","TimeDomainBodyAcceleration.max.X"
"11",11,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Y","max","Largest value in array","tBodyAcc-max()-Y","TimeDomainBodyAcceleration.max.Y"
"12",12,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Z","max","Largest value in array","tBodyAcc-max()-Z","TimeDomainBodyAcceleration.max.Z"
"13",13,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"X","min","Smallest value in array","tBodyAcc-min()-X","TimeDomainBodyAcceleration.min.X"
"14",14,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Y","min","Smallest value in array","tBodyAcc-min()-Y","TimeDomainBodyAcceleration.min.Y"
"15",15,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Z","min","Smallest value in array","tBodyAcc-min()-Z","TimeDomainBodyAcceleration.min.Z"
"16",16,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,"sma","Signal magnitude area","tBodyAcc-sma()","TimeDomainBodyAcceleration.sma"
"17",17,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"X",NA,NA,"tBodyAcc-energy()-X","TimeDomainBodyAcceleration.energy.X"
"18",18,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Y",NA,NA,"tBodyAcc-energy()-Y","TimeDomainBodyAcceleration.energy.Y"
"19",19,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Z",NA,NA,"tBodyAcc-energy()-Z","TimeDomainBodyAcceleration.energy.Z"
"20",20,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"X","iqr","Interquartile range ","tBodyAcc-iqr()-X","TimeDomainBodyAcceleration.iqr.X"
"21",21,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Y","iqr","Interquartile range ","tBodyAcc-iqr()-Y","TimeDomainBodyAcceleration.iqr.Y"
"22",22,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Z","iqr","Interquartile range ","tBodyAcc-iqr()-Z","TimeDomainBodyAcceleration.iqr.Z"
"23",23,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"X","entropy","Signal entropy","tBodyAcc-entropy()-X","TimeDomainBodyAcceleration.entropy.X"
"24",24,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Y","entropy","Signal entropy","tBodyAcc-entropy()-Y","TimeDomainBodyAcceleration.entropy.Y"
"25",25,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Z","entropy","Signal entropy","tBodyAcc-entropy()-Z","TimeDomainBodyAcceleration.entropy.Z"
"26",26,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"X,1","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAcc-arCoeff()-X,1","TimeDomainBodyAcceleration.arCoeff.Xx1"
"27",27,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"X,2","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAcc-arCoeff()-X,2","TimeDomainBodyAcceleration.arCoeff.Xx2"
"28",28,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"X,3","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAcc-arCoeff()-X,3","TimeDomainBodyAcceleration.arCoeff.Xx3"
"29",29,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"X,4","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAcc-arCoeff()-X,4","TimeDomainBodyAcceleration.arCoeff.Xx4"
"30",30,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Y,1","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAcc-arCoeff()-Y,1","TimeDomainBodyAcceleration.arCoeff.Yx1"
"31",31,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Y,2","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAcc-arCoeff()-Y,2","TimeDomainBodyAcceleration.arCoeff.Yx2"
"32",32,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Y,3","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAcc-arCoeff()-Y,3","TimeDomainBodyAcceleration.arCoeff.Yx3"
"33",33,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Y,4","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAcc-arCoeff()-Y,4","TimeDomainBodyAcceleration.arCoeff.Yx4"
"34",34,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Z,1","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAcc-arCoeff()-Z,1","TimeDomainBodyAcceleration.arCoeff.Zx1"
"35",35,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Z,2","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAcc-arCoeff()-Z,2","TimeDomainBodyAcceleration.arCoeff.Zx2"
"36",36,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,"Z,3","arCoeff","Autorregresion coefficients with Burg order equal to 4","tBodyAcc-arCoeff()-Z,3","TimeDomainBodyAcceleration.arCoeff.Zx3"
